id,image,kind,name
230,,채소,고사리
231,,채소,봄동
232,,조미료 및 향신료,화이트와인
233,,채소,옥수수
234,,조미료 및 향신료,가다랑어포
235,,조미료 및 향신료,칠리소스
236,,육류,차돌박이
237,,기타,떡
238,,채소,무순
239,,기타,우동면
240,,과일,키위
241,,콩류 및 견과류,팥
242,,채소,적양파
243,,과일,파인애플
244,,조미료 및 향신료,메이플시럽
245,,해산물 및 해조류,진미채
246,,기타,칼국수면
247,,기타,가래떡
248,,채소,인삼
249,,해산물 및 해조류,황태채
250,,해산물 및 해조류,골뱅이
251,,콩류 및 견과류,땅콩
252,,기타,모닝빵
253,,채소,샐러리
254,,기타,도토리묵
255,,채소,아스파라거스
256,,육류,돼지등갈비
257,,조미료 및 향신료,배즙
258,,기타,라이스페이퍼
259,,조미료 및 향신료,바질가루
260,,기타,초코칩
261,,콩류 및 견과류,건포도
262,,조미료 및 향신료,청양고춧가루
263,,과일,매실
264,,기타,유부
265,,조미료 및 향신료,우스터소스
266,,육류,훈제오리
267,,조미료 및 향신료,유자청
268,,채소,참나물
269,,조미료 및 향신료,스테이크소스
270,,기타,사이다
271,,채소,얼갈이배추
272,,유제품,휘핑크림
273,,해산물 및 해조류,꽃게
274,,조미료 및 향신료,콩기름
275,,해산물 및 해조류,쭈꾸미
276,,해산물 및 해조류,꼬막
277,,채소,시래기
278,,기타,국수
279,,기타,조미김
280,,육류,돼지고기 목살
281,,채소,샐러드채소
282,,기타,탄산수
283,,해산물 및 해조류,낙지
284,,조미료 및 향신료,원당
285,,기타,바게트
286,,조미료 및 향신료,마늘가루
287,,조미료 및 향신료,코인육수
288,,해산물 및 해조류,날치알
289,,조미료 및 향신료,연두
290,,기타,만두피
291,,조미료 및 향신료,데리야끼소스
292,,조미료 및 향신료,로즈마리
293,,조미료 및 향신료,멸치가루
294,,조미료 및 향신료,청국장
295,,과일,귤
296,,기타,술
297,,육류,순대
298,,채소,치커리
299,,채소,파뿌리
300,,기타,핫케이크가루
301,,육류,후랑크소세지
302,,조미료 및 향신료,핫소스
303,,육류,닭안심
304,,조미료 및 향신료,구운소금
305,,해산물 및 해조류,북어채
306,,육류,소고기 국거리
307,,채소,밥
308,,채소,도라지
309,,육류,돼지갈비
310,,조미료 및 향신료,천연조미료
311,,해산물 및 해조류,황태
312,,해산물 및 해조류,갈치
313,,육류,닭봉
314,,채소,목이버섯
315,,채소,열무
316,,기타,콩가루
317,,채소,비트
318,,과일,오렌지
319,,육류,소고기 양지
320,,과일,크랜베리
321,,해산물 및 해조류,해물믹스
322,,조미료 및 향신료,아가베시럽
323,,채소,취나물
