Index,Ingredient,Category
249,황태채,해산물 및 해조류
250,골뱅이,해산물 및 해조류
251,땅콩,콩류 및 견과류
252,모닝빵,기타
253,샐러리,채소
254,도토리묵,기타
255,아스파라거스,채소
256,돼지등갈비,육류
257,배즙,조미료 및 향신료
258,라이스페이퍼,기타
259,바질가루,조미료 및 향신료
260,초코칩,기타
261,건포도,콩류 및 견과류
262,청양고춧가루,조미료 및 향신료
263,매실,과일
264,유부,기타
265,우스터소스,조미료 및 향신료
266,훈제오리,육류
267,유자청,조미료 및 향신료
268,참나물,채소
269,스테이크소스,조미료 및 향신료
270,사이다,기타
271,얼갈이배추,채소
272,휘핑크림,유제품
273,꽃게,해산물 및 해조류
274,콩기름,조미료 및 향신료
275,쭈꾸미,해산물 및 해조류
276,꼬막,해산물 및 해조류
277,시래기,채소
278,국수,기타
279,조미김,기타
280,돼지고기 목살,육류
281,샐러드채소,채소
282,탄산수,기타
283,낙지,해산물 및 해조류
284,원당,조미료 및 향신료
285,바게트,기타
286,마늘가루,조미료 및 향신료
287,코인육수,조미료 및 향신료
288,날치알,해산물 및 해조류
289,연두,조미료 및 향신료
290,만두피,기타
291,데리야끼소스,조미료 및 향신료
292,로즈마리,조미료 및 향신료
293,멸치가루,조미료 및 향신료
294,청국장,조미료 및 향신료
295,귤,과일
296,술,기타
297,순대,육류
298,치커리,채소
299,파뿌리,채소
300,핫케이크가루,기타
301,후랑크소세지,육류
302,핫소스,조미료 및 향신료
303,닭안심,육류
304,구운소금,조미료 및 향신료
305,북어채,해산물 및 해조류
306,소고기 국거리,육류
307,쑥,채소
308,도라지,채소
309,돼지갈비,육류
310,천연조미료,조미료 및 향신료
311,황태,해산물 및 해조류
312,갈치,해산물 및 해조류
313,닭봉,육류
314,목이버섯,채소
315,열무,채소
316,콩가루,기타
317,비트,채소
318,오렌지,과일
319,소고기 양지,육류
320,크랜베리,과일
321,해물믹스,해산물 및 해조류
322,아가베시럽,조미료 및 향신료
323,취나물,채소
324,스파게티소스,조미료 및 향신료
325,표고버섯가루,기타
326,돼지고기 안심,육류
327,미원,조미료 및 향신료
328,열무김치,절임 및 장아찌
329,현미유,조미료 및 향신료
330,돼지고기 등심,육류
331,에스프레소,기타
332,양파즙,기타
333,고추냉이,조미료 및 향신료
334,두릅,채소
335,오트밀,곡물
336,베트남고추,채소
337,완두콩,콩류 및 견과류
338,미향,조미료 및 향신료
339,바닐라오일,조미료 및 향신료
340,세발나물,채소
341,은행,채소
342,해바라기씨,콩류 및 견과류
343,코다리,해산물 및 해조류
344,냉면육수,기타
345,파프리카가루,조미료 및 향신료
346,피쉬소스,조미료 및 향신료
347,매생이,해산물 및 해조류
348,돈까스,육류
349,분유,기타
350,레드와인,조미료 및 향신료
351,두유,기타
352,면수,기타
353,쌈무,기타
354,녹차가루,기타
355,복숭아,과일
356,춘장,조미료 및 향신료
357,파래,해산물 및 해조류
358,쫄면,기타
359,젤라틴,기타
360,돼지등뼈,육류
361,해바라기유,조미료 및 향신료
362,호박씨,콩류 및 견과류
363,정종,조미료 및 향신료
364,목살,육류
365,연두부,콩류 및 견과류
366,새우가루,기타
367,수박,과일
368,무말랭이,절임 및 장아찌
369,더덕,채소
370,검은콩,콩류 및 견과류
371,소갈비,육류
372,고수,조미료 및 향신료
373,바질페스토,조미료 및 향신료
374,죽순,채소
375,스트링치즈,유제품
376,돌나물,채소
377,흑임자,콩류 및 견과류
378,문어,해산물 및 해조류
379,참외,과일
380,조미료,조미료 및 향신료
381,홍초,조미료 및 향신료
382,무청,채소
383,쌈채소,채소
384,동태,해산물 및 해조류
385,사과즙,조미료 및 향신료
386,곤약,기타
387,뉴슈가,조미료 및 향신료
388,짜장가루,조미료 및 향신료
389,김밥용 햄,육류
390,고구마줄기,채소
391,대하,해산물 및 해조류
392,돼지목살,육류
393,플레인요구르트,유제품
394,코코넛오일,조미료 및 향신료
395,피클링스파이스,조미료 및 향신료
396,수삼,채소
397,스리라차소스,조미료 및 향신료
398,치킨,육류
399,양념장,조미료 및 향신료
400,루꼴라,채소
401,로메인,채소
402,통삼겹살,육류
403,적채,채소
404,톳,해산물 및 해조류
405,럼주,조미료 및 향신료
406,짜장라면,기타
407,빵,기타
408,메밀면,기타
409,강황가루,조미료 및 향신료
410,노각,채소
411,타임,조미료 및 향신료
412,실고추,채소
413,소고기 등심,육류
414,콜라,기타
415,잡채,기타
416,불고기,육류
417,병아리콩,콩류 및 견과류
418,오징어채,해산물 및 해조류
419,LA갈비,육류
420,쌀국수,기타
421,할라피뇨,채소
422,오레가노,조미료 및 향신료
423,시럽,조미료 및 향신료
424,무화과,과일
425,꽁치통조림,기타
426,대파뿌리,채소
427,아욱,채소
428,계피,채소
429,맥주,기타
430,우삼겹,육류
431,캐슈넛,콩류 및 견과류
432,피칸,콩류 및 견과류
433,박력쌀가루,곡물
434,리코타치즈,유제품
435,치즈가루,유제품
436,레몬주스,기타
437,황기,채소
438,김자반,기타
439,케이퍼,조미료 및 향신료
440,라임,과일
441,요구르트,기타
442,시리얼,기타
443,아보카도오일,조미료 및 향신료
444,누룽지,기타
445,우거지,채소
446,들깨,콩류 및 견과류
447,허브가루,기타
448,베이글,기타
449,케일,채소
450,마카로니,기타
451,곶감,과일
452,만가닥버섯,채소
453,삼치,해산물 및 해조류
454,가자미,해산물 및 해조류
455,가리비,해산물 및 해조류
456,레몬청,조미료 및 향신료
457,생와사비,조미료 및 향신료
458,단감,과일
459,노두유,조미료 및 향신료
460,물만두,기타
461,깻잎순,채소
462,해물육수,기타
463,사워크림,유제품
464,포도,과일
465,바닐라빈,조미료 및 향신료
466,콜라비,채소
467,우렁이,해산물 및 해조류
468,건크랜베리,기타
469,주키니호박,채소
470,깍두기,채소
471,구운김,기타
472,아이스크림,기타
473,코코넛밀크,기타
474,후리가케,조미료 및 향신료
475,스테비아,조미료 및 향신료
476,모시조개,해산물 및 해조류
477,애플민트,조미료 및 향신료
478,장어,해산물 및 해조류
479,화이트초콜릿,기타
480,자두,과일
481,호박잎,채소
482,과일,과일
483,미숫가루,기타
484,우엉조림,기타
485,갑오징어,해산물 및 해조류
486,콩비지,콩류 및 견과류
487,피스타치오,콩류 및 견과류
488,바닐라아이스크림,기타
489,그린빈,콩류 및 견과류
490,팔각,조미료 및 향신료
491,떡갈비,육류
492,녹두,콩류 및 견과류
493,소고기 사태,육류
494,마,채소
495,피자소스,조미료 및 향신료
496,연두순,채소
497,바질잎,채소
498,체리,과일
499,서리태,콩류 및 견과류
500,오리고기,육류
501,미소된장,기타
502,황태포,해산물 및 해조류
503,메밀국수,기타
504,오레오,기타
505,토란대,채소
506,근대,채소
507,고기,육류
508,식용색소,기타
509,자몽,과일
510,백앙금,기타
511,맛타리버섯,채소
512,청포묵,기타
513,라임즙,조미료 및 향신료
514,송이버섯,채소
515,감초,조미료 및 향신료
516,방풍나물,채소
517,관자,해산물 및 해조류
518,스프링클,기타
519,땅콩분태,콩류 및 견과류
520,현미,곡물
521,엿기름,조미료 및 향신료
522,불닭소스,조미료 및 향신료
523,조갯살,해산물 및 해조류
524,베이크드빈스,기타
525,소고기 안심,육류
526,육수팩,조미료 및 향신료
527,김밥용 단무지,기타
528,미더덕,해산물 및 해조류
529,정향,조미료 및 향신료
530,민트,조미료 및 향신료
531,호떡믹스,기타
532,풋마늘,채소
533,그라나파다노치즈,유제품
534,혼다시,조미료 및 향신료
535,크래커,기타
536,마스카포네치즈,유제품
537,양파청,조미료 및 향신료
538,체더치즈,기타
539,쌀엿,조미료 및 향신료
540,망고,과일
541,비름나물,채소
542,딜,채소
543,볶은소금,조미료 및 향신료
544,메밀가루,기타
545,고구마순,채소
546,두부면,기타
547,바베큐소스,조미료 및 향신료
548,동태포,해산물 및 해조류
549,와인,조미료 및 향신료
550,양파가루,조미료 및 향신료
551,동그랑땡,기타
552,소고기 샤브샤브용,기타
553,초코시럽,기타
554,소고기 부채살,육류
555,방아잎,채소
556,조기,해산물 및 해조류
557,실곤약,기타
558,옥수수가루,기타
559,매실즙,조미료 및 향신료
560,단호박가루,기타
561,코코넛가루,기타
562,황태머리,해산물 및 해조류
563,갓김치,절임 및 장아찌
564,쥐포,해산물 및 해조류
565,카스테라,기타
566,푸실리,기타
567,허브,채소
568,잼,기타
569,콩,콩류 및 견과류
570,초코펜,기타
571,반건조오징어,해산물 및 해조류
572,밀가루풀,곡물
573,마가린,유제품
574,오리엔탈드레싱,조미료 및 향신료
575,치아바타,기타
576,레몬제스트,조미료 및 향신료
577,막걸리,기타
578,고춧잎,채소
579,청포도,과일
580,조개,해산물 및 해조류
581,불닭볶음면,기타
582,다짐육,육류
583,갓,채소
584,물미역,해산물 및 해조류
585,럼,기타
586,꽃빵,기타
587,쑥가루,기타
588,물전분,기타
589,오징어실채,해산물 및 해조류
590,파김치,절임 및 장아찌
591,로메인상추,채소
592,천도복숭아,과일
593,등심,육류
594,멍게,해산물 및 해조류
595,대구,해산물 및 해조류
596,누텔라,기타
597,조랭이떡,기타
598,유채나물,채소
599,홍시,과일
600,핫도그빵,기타
601,크림소스,조미료 및 향신료
602,잣가루,기타
603,머위,채소
604,쥐똥고추,채소
605,총각김치,절임 및 장아찌
606,말차가루,기타
607,인절미,기타
608,바닐라향,기타
609,땅콩가루,콩류 및 견과류
610,족발,육류
611,마시멜로우,기타
612,햄버거빵,기타
613,홀토마토,기타
614,샬롯,채소
615,멸치다시다,조미료 및 향신료
616,면,기타
617,블루베리잼,기타
618,납작당면,기타
619,넛맥,기타
620,강낭콩,콩류 및 견과류
621,통아몬드,콩류 및 견과류
622,한천가루,기타
623,냉동딸기,과일
624,머위대,채소
625,굴비,해산물 및 해조류
626,중면,기타
627,강력쌀가루,곡물
628,산딸기,과일
629,마른김,기타
